Device Code,Device Name
moto x pure,Motorola Moto X Pure
moto x4,Motorola Moto X4
moto z droid,Motorola Moto Z Droid
moto z play dual,Motorola Moto Z Play Dual
moto z2 force,Motorola Moto Z2 Force
moto z2 play,Motorola Moto Z2 Play
one,Motorola One
razr,Motorola RAZR
razr d1,Motorola Razr D1
razr d3,Motorola Razr D3
razr hd,Motorola RAZR HD
razr i,Motorola RAZR i
1,Nokia 1
2,Nokia 2
2.1,Nokia 2.1
3,Nokia 3
5,Nokia 5
6.1,Nokia 6.1
nyx,Nyx Devices
5t,Oneplus 5T
6,Oneplus 6
6t,Oneplus 6T
oneplus,Oneplus Devices
oneplus one,Oneplus OnePlus One
1201,Oppo 1201
a37,Oppo A37
a39,Oppo A39
a3s,Oppo A3s
a5,Oppo A5
a57,Oppo A57
a59,Oppo A59
a7,Oppo A7
a71,Oppo A71
a71 (2018),Oppo A71 (2018)
a83,Oppo A83
oppo,Oppo Devices
f1 plus,Oppo F1 Plus
f1s,Oppo F1s
f3,Oppo F3
f3 plus,Oppo F3 Plus
f5,Oppo F5
f5 youth,Oppo F5 Youth
f7,Oppo F7
f9,Oppo F9
joy 3,Oppo Joy 3
neo 3,Oppo Neo 3
neo 5,Oppo Neo 5
neo 7,Oppo Neo 7
neo 7s,Oppo Neo 7S
r9s,Oppo R9s
samsung,Samsung Devices
galaxy a3,Samsung Galaxy A3
galaxy a3 (2016),Samsung Galaxy A3 (2016)
galaxy a3 (2017),Samsung Galaxy A3 (2017)
galaxy a30,Samsung Galaxy A30
galaxy a5,Samsung Galaxy A5
galaxy a5 (2016),Samsung Galaxy A5 (2016)
galaxy a5 (2017),Samsung Galaxy A5 (2017)
galaxy a50,Samsung Galaxy A50
galaxy a6,Samsung Galaxy A6
galaxy a6 (2018),Samsung Galaxy A6 (2018)
galaxy a6+,Samsung Galaxy A6+
galaxy a6+ (2018),Samsung Galaxy A6+ (2018)
galaxy a7,Samsung Galaxy A7
galaxy a7 (2016),Samsung Galaxy A7 (2016)
galaxy a7 (2017),Samsung Galaxy A7 (2017)
galaxy a7 (2018),Samsung Galaxy A7 (2018)
galaxy a8,Samsung Galaxy A8
galaxy a8 (2018),Samsung Galaxy A8 (2018)
galaxy a8+ (2018),Samsung Galaxy A8+ (2018)
galaxy a9 (2018),Samsung Galaxy A9 (2018)
galaxy a9 pro (2016),Samsung Galaxy A9 Pro (2016)
galaxy ace,Samsung Galaxy Ace
galaxy ace 2,Samsung Galaxy Ace 2
galaxy ace 3,Samsung Galaxy Ace 3
galaxy ace 4,Samsung Galaxy Ace 4
galaxy ace 4 duos,Samsung Galaxy Ace 4 Duos
galaxy ace 4 lite duos,Samsung Galaxy Ace 4 Lite Duos
galaxy ace 4 neo,Samsung Galaxy Ace 4 Neo
galaxy ace duos,Samsung Galaxy Ace Duos
galaxy ace nxt,Samsung Galaxy Ace NXT
galaxy ace plus,Samsung Galaxy Ace Plus
galaxy ace style,Samsung Galaxy Ace Style
galaxy alpha,Samsung Galaxy Alpha
galaxy avant,Samsung Galaxy Avant
galaxy c7 pro,Samsung Galaxy C7 Pro
galaxy c9 pro,Samsung Galaxy C9 Pro
galaxy centura,Samsung Galaxy Centura
galaxy chat,Samsung Galaxy Chat
galaxy core,Samsung Galaxy Core
galaxy core 2,Samsung Galaxy Core 2
galaxy core 2 duos,Samsung Galaxy Core 2 Duos
galaxy core plus,Samsung Galaxy Core Plus
galaxy core prime,Samsung Galaxy Core Prime
galaxy core prime duos,Samsung Galaxy Core Prime Duos
galaxy e5,Samsung Galaxy E5
galaxy e7,Samsung Galaxy E7
galaxy exhibit,Samsung Galaxy Exhibit
galaxy fame,Samsung Galaxy Fame
galaxy fame lite,Samsung Galaxy Fame Lite
galaxy fame lite duos,Samsung Galaxy Fame Lite Duos
galaxy gran neo duos,Samsung Galaxy Gran Neo Duos
galaxy grand,Samsung Galaxy Grand
galaxy grand 2,Samsung Galaxy Grand 2
galaxy grand 2 duos,Samsung Galaxy Grand 2 Duos
galaxy grand max,Samsung Galaxy Grand Max
galaxy grand neo,Samsung Galaxy Grand Neo
galaxy grand prime,Samsung Galaxy Grand Prime
galaxy grand prime plus,Samsung Galaxy Grand Prime Plus
galaxy grand quattro,Samsung Galaxy Grand Quattro
galaxy j1,Samsung Galaxy J1
galaxy j1 (2016),Samsung Galaxy J1 (2016)
galaxy j1 ace,Samsung Galaxy J1 Ace
galaxy j1 mini,Samsung Galaxy J1 Mini
galaxy j1 mini prime,Samsung Galaxy J1 Mini Prime
galaxy j2,Samsung Galaxy J2
galaxy j2 (2016),Samsung Galaxy J2 (2016)
galaxy j2 (2017),Samsung Galaxy J2 (2017)
galaxy j2 (2018),Samsung Galaxy J2 (2018)
galaxy j2 core,Samsung Galaxy J2 Core
galaxy j2 prime,Samsung Galaxy J2 Prime
galaxy j3,Samsung Galaxy J3
galaxy j3 (2016),Samsung Galaxy J3 (2016)
galaxy j3 (2017),Samsung Galaxy J3 (2017)
galaxy j3 (2018),Samsung Galaxy J3 (2018)
galaxy j3 emerge,Samsung Galaxy J3 Emerge
galaxy j3 luna pro,Samsung Galaxy J3 Luna Pro
galaxy j3 prime,Samsung Galaxy J3 Prime
galaxy j3 prime (2017),Samsung Galaxy J3 Prime (2017)
galaxy j3 pro,Samsung Galaxy J3 Pro
galaxy j4 (2018),Samsung Galaxy J4 (2018)
galaxy j4 core,Samsung Galaxy J4 Core
galaxy j4+,Samsung Galaxy J4+
galaxy j5,Samsung Galaxy J5
galaxy j5 (2016),Samsung Galaxy J5 (2016)
galaxy j5 (2017),Samsung Galaxy J5 (2017)
galaxy j5 prime,Samsung Galaxy J5 Prime
galaxy j5 pro,Samsung Galaxy J5 Pro
galaxy j6,Samsung Galaxy J6
galaxy j6+,Samsung Galaxy J6+
galaxy j7,Samsung Galaxy J7
galaxy j7 (2016),Samsung Galaxy J7 (2016)
galaxy j7 (2017),Samsung Galaxy J7 (2017)
galaxy j7 (2018),Samsung Galaxy J7 (2018)
galaxy j7 core,Samsung Galaxy J7 Core
galaxy j7 duo,Samsung Galaxy J7 Duo
galaxy j7 max,Samsung Galaxy J7 Max
galaxy j7 neo,Samsung Galaxy J7 Neo
galaxy j7 nxt,Samsung Galaxy J7 Nxt
galaxy j7 prime,Samsung Galaxy J7 Prime
galaxy j7 prime 2,Samsung Galaxy J7 Prime 2
galaxy j7 pro,Samsung Galaxy J7 Pro
galaxy j7 refine,Samsung Galaxy J7 Refine
galaxy j7+,Samsung Galaxy J7+
galaxy j8,Samsung Galaxy J8
galaxy light,Samsung Galaxy Light
galaxy m20,Samsung Galaxy M20
galaxy mega 2,Samsung Galaxy Mega 2
galaxy mega 5.8,Samsung Galaxy Mega 5.8
galaxy mega 6.3,Samsung Galaxy Mega 6.3
galaxy mini,Samsung Galaxy Mini
galaxy mini 2,Samsung Galaxy Mini 2
galaxy note,Samsung Galaxy Note
galaxy note 10.1,Samsung Galaxy Note 10.1
galaxy note 10.1 2014,Samsung Galaxy Note 10.1 2014
galaxy note 3,Samsung Galaxy Note 3
galaxy note 3 neo,Samsung Galaxy Note 3 Neo
galaxy note 3 neo duos,Samsung Galaxy Note 3 Neo Duos
galaxy note 4,Samsung Galaxy Note 4
galaxy note 4 duos,Samsung Galaxy Note 4 Duos
galaxy note 5,Samsung Galaxy Note 5
galaxy note 7,Samsung Galaxy Note 7
galaxy note 8,Samsung Galaxy Note 8
galaxy note 8.0,Samsung Galaxy Note 8.0
galaxy note 9,Samsung Galaxy Note 9
galaxy note edge,Samsung Galaxy Note Edge
galaxy note ii,Samsung Galaxy Note II
galaxy on5,Samsung Galaxy On5
galaxy on5 (2016),Samsung Galaxy On5 (2016)
galaxy on7,Samsung Galaxy On7
galaxy on7 (2017),Samsung Galaxy On7 (2017)
galaxy on7 prime (2018),Samsung Galaxy On7 Prime (2018)
galaxy pocket,Samsung Galaxy Pocket
galaxy pocket 2,Samsung Galaxy Pocket 2
galaxy pocket 2 duos,Samsung Galaxy Pocket 2 Duos
galaxy pocket duos,Samsung Galaxy Pocket Duos
galaxy pocket neo,Samsung Galaxy Pocket Neo
galaxy pocket neo duos,Samsung Galaxy Pocket Neo Duos
galaxy pocket plus,Samsung Galaxy Pocket Plus
galaxy s,Samsung Galaxy S
galaxy s advance,Samsung Galaxy S Advance
galaxy s duos,Samsung Galaxy S Duos
galaxy s duos 2,Samsung Galaxy S Duos 2
galaxy s duos 3,Samsung Galaxy S Duos 3
galaxy s ii,Samsung Galaxy S II
galaxy s ii plus,Samsung Galaxy S II Plus
galaxy s ii skyrocket,Samsung Galaxy S II Skyrocket
galaxy s ii tv,Samsung Galaxy S II TV
galaxy s iii,Samsung Galaxy S III
galaxy s iii alpha,Samsung Galaxy S III Alpha
galaxy s iii mini,Samsung Galaxy S III Mini
galaxy s iii neo,Samsung Galaxy S III Neo
galaxy s iii neo plus,Samsung Galaxy S III Neo Plus
galaxy s iii neo+,Samsung Galaxy S III Neo+
galaxy s iii slim,Samsung Galaxy S III Slim
galaxy s10,Samsung Galaxy S10
galaxy s10+,Samsung Galaxy S10+
galaxy s4,Samsung Galaxy S4
galaxy s4 active,Samsung Galaxy S4 Active
galaxy s4 mini,Samsung Galaxy S4 Mini
galaxy s4 value edition,Samsung Galaxy S4 Value Edition
galaxy s4 zoom,Samsung Galaxy S4 Zoom
galaxy s5,Samsung Galaxy S5
galaxy s5 active,Samsung Galaxy S5 Active
galaxy s5 duos,Samsung Galaxy S5 Duos
galaxy s5 mini,Samsung Galaxy S5 Mini
galaxy s5 neo,Samsung Galaxy S5 Neo
galaxy s5 plus,Samsung Galaxy S5 Plus
galaxy s5 prime,Samsung Galaxy S5 Prime
galaxy s5 sport,Samsung Galaxy S5 Sport
galaxy s6,Samsung Galaxy S6
galaxy s6 active,Samsung Galaxy S6 Active
galaxy s6 edge,Samsung Galaxy S6 Edge
galaxy s6 edge plus,Samsung Galaxy S6 Edge Plus
galaxy s7,Samsung Galaxy S7
galaxy s7 active,Samsung Galaxy S7 Active
galaxy s7 edge,Samsung Galaxy S7 Edge
galaxy s8,Samsung Galaxy S8
galaxy s8 active,Samsung Galaxy S8 Active
galaxy s8+,Samsung Galaxy S8+
galaxy s9,Samsung Galaxy S9
galaxy s9+,Samsung Galaxy S9+
galaxy star,Samsung Galaxy Star
galaxy star 2,Samsung Galaxy Star 2
galaxy star advance,Samsung Galaxy Star Advance
galaxy star pro,Samsung Galaxy Star Pro
galaxy star trios,Samsung Galaxy Star Trios
galaxy tab 2 10.1,Samsung Galaxy Tab 2 10.1
galaxy tab 2 7.0,Samsung Galaxy Tab 2 7.0
galaxy tab 3 10.1,Samsung Galaxy Tab 3 10.1
galaxy tab 3 7.0,Samsung Galaxy Tab 3 7.0
galaxy tab 3 8.0,Samsung Galaxy Tab 3 8.0
galaxy tab 3 lite,Samsung Galaxy Tab 3 Lite
galaxy tab 3 v,Samsung Galaxy Tab 3 V
galaxy tab 4 10.1,Samsung Galaxy Tab 4 10.1
galaxy tab 4 7.0,Samsung Galaxy Tab 4 7.0
galaxy tab 4 8.0,Samsung Galaxy Tab 4 8.0
galaxy tab a,Samsung Galaxy Tab A
galaxy tab a 10.1 (2016),Samsung Galaxy Tab A 10.1 (2016)
galaxy tab a 7.0 (2016),Samsung Galaxy Tab A 7.0 (2016)
galaxy tab a 8.0,Samsung Galaxy Tab A 8.0
galaxy tab a 9.7,Samsung Galaxy Tab A 9.7
galaxy tab e 8.0,Samsung Galaxy Tab E 8.0
galaxy tab e 9.6,Samsung Galaxy Tab E 9.6
galaxy tab pro 10.1,Samsung Galaxy Tab Pro 10.1
galaxy tab s 10.5,Samsung Galaxy Tab S 10.5
galaxy tab s2 8.0,Samsung Galaxy Tab S2 8.0
galaxy tab s2 9.7,Samsung Galaxy Tab S2 9.7
galaxy trend,Samsung Galaxy Trend
galaxy trend lite,Samsung Galaxy Trend Lite
galaxy trend lite 2,Samsung Galaxy Trend Lite 2
galaxy trend plus,Samsung Galaxy Trend Plus
galaxy v,Samsung Galaxy V
galaxy v plus,Samsung Galaxy V Plus
galaxy w,Samsung Galaxy W
galaxy win,Samsung Galaxy Win
galaxy win 2 duos tv,Samsung Galaxy Win 2 Duos TV
galaxy win duos,Samsung Galaxy Win Duos
galaxy xcover 3,Samsung Galaxy Xcover 3
galaxy xcover 4,Samsung Galaxy Xcover 4
galaxy y,Samsung Galaxy Y
galaxy y duos,Samsung Galaxy Y Duos
galaxy y plus,Samsung Galaxy Y Plus
galaxy y pro,Samsung Galaxy Y Pro
galaxy y tv,Samsung Galaxy Y TV
galaxy young,Samsung Galaxy Young
galaxy young 2,Samsung Galaxy Young 2
galaxy young 2 duos,Samsung Galaxy Young 2 Duos
galaxy young plus tv,Samsung Galaxy Young Plus TV
note 3 neo duos,Samsung Note 3 Neo Duos
pocket neo,Samsung Pocket Neo
aquos crystal,Sharp Aquos Crystal
aquos crystal x,Sharp Aquos Crystal X
aquos ever,Sharp Aquos Ever
aquos phone serie shl22,Sharp Aquos Phone Serie SHL22
aquos phone serie shl23,Sharp Aquos Phone Serie SHL23
aquos phone xx mini,Sharp Aquos Phone Xx mini
aquos phone zeta sh-02e,Sharp Aquos Phone Zeta SH-02E
aquos xx,Sharp Aquos Xx
sharp,Sharp Devices
andromax a,Smartfren Andromax A
andromax es,Smartfren Andromax Es
smartfren,Smartfren Devices
sony,Sony Devices
xperia c,Sony Xperia C
xperia c3 dual,Sony Xperia C3 Dual
xperia c4,Sony Xperia C4
xperia c4 dual,Sony Xperia C4 Dual
xperia c5 ultra,Sony Xperia C5 Ultra
xperia c5 ultra dual,Sony Xperia C5 Ultra Dual
xperia e,Sony Xperia E
xperia e dual,Sony Xperia E Dual
xperia e1,Sony Xperia E1
xperia e1 dual,Sony Xperia E1 Dual
xperia e3,Sony Xperia E3
xperia e3 dual,Sony Xperia E3 Dual
xperia e4,Sony Xperia E4
xperia e4g,Sony Xperia E4g
xperia e4g dual,Sony Xperia E4g Dual
xperia e5,Sony Xperia E5
xperia j,Sony Xperia J
xperia l,Sony Xperia L
xperia l1,Sony Xperia L1
xperia m,Sony Xperia M
xperia m2,Sony Xperia M2
xperia m2 aqua,Sony Xperia M2 Aqua
xperia m4 aqua,Sony Xperia M4 Aqua
xperia m5,Sony Xperia M5
xperia m5 dual,Sony Xperia M5 Dual
xperia mini,Sony Xperia Mini
xperia miro,Sony Xperia Miro
xperia p,Sony Xperia P
xperia s,Sony Xperia S
xperia sp,Sony Xperia SP
xperia tipo,Sony Xperia Tipo
xperia tipo dual,Sony Xperia Tipo Dual
xperia u,Sony Xperia U
xperia ul,Sony Xperia UL
xperia x,Sony Xperia X
xperia x compact,Sony Xperia X Compact
xperia x performance,Sony Xperia X Performance
xperia xa,Sony Xperia XA
xperia xa ultra,Sony Xperia XA Ultra
xperia xa1,Sony Xperia XA1
xperia xa1 ultra,Sony Xperia XA1 Ultra
xperia xz,Sony Xperia XZ
